040e,TB_ISBUTTONHIGHLIGHTED
040e,TBM_GETPTICS
040e,TTM_ENUMTOOLSA
040f,SB_SETICON
040f,TBM_GETTICPOS
040f,TTM_GETCURRENTTOOLA
0410,RB_IDTOINDEX
0410,SB_SETTIPTEXTA
0410,TBM_GETNUMTICS
0410,TTM_WINDOWFROMPOINT
0411,RB_GETTOOLTIPS
0411,SB_SETTIPTEXTW
0411,TBM_GETSELSTART
0411,TB_SETSTATE
0411,TTM_TRACKACTIVATE
0412,RB_SETTOOLTIPS
0412,SB_GETTIPTEXTA
0412,TB_GETSTATE
0412,TBM_GETSELEND
0412,TTM_TRACKPOSITION
0413,RB_SETBKCOLOR
0413,SB_GETTIPTEXTW
0413,TB_ADDBITMAP
0413,TBM_CLEARSEL
0413,TTM_SETTIPBKCOLOR
0414,RB_GETBKCOLOR
0414,SB_GETICON
0414,TB_ADDBUTTONSA
0414,TBM_SETTICFREQ
0414,TTM_SETTIPTEXTCOLOR
0415,RB_SETTEXTCOLOR
0415,TB_INSERTBUTTONA
0415,TBM_SETPAGESIZE
0415,TTM_GETDELAYTIME
0416,RB_GETTEXTCOLOR
0416,TB_DELETEBUTTON
0416,TBM_GETPAGESIZE
0416,TTM_GETTIPBKCOLOR
0417,RB_SIZETORECT
0417,TB_GETBUTTON
0417,TBM_SETLINESIZE
0417,TTM_GETTIPTEXTCOLOR
0418,RB_BEGINDRAG
0418,TB_BUTTONCOUNT
0418,TBM_GETLINESIZE
0418,TTM_SETMAXTIPWIDTH
0419,RB_ENDDRAG
0419,TB_COMMANDTOINDEX
0419,TBM_GETTHUMBRECT
0419,TTM_GETMAXTIPWIDTH
041a,RB_DRAGMOVE
041a,TBM_GETCHANNELRECT
041a,TB_SAVERESTOREA
041a,TTM_SETMARGIN
041b,RB_GETBARHEIGHT
041b,TB_CUSTOMIZE
041b,TBM_SETTHUMBLENGTH
041b,TTM_GETMARGIN
041c,RB_GETBANDINFOW
041c,TB_ADDSTRINGA
041c,TBM_GETTHUMBLENGTH
041c,TTM_POP
041d,RB_GETBANDINFOA
041d,TB_GETITEMRECT
041d,TBM_SETTOOLTIPS
041d,TTM_UPDATE
041e,RB_MINIMIZEBAND
041e,TB_BUTTONSTRUCTSIZE
041e,TBM_GETTOOLTIPS
041e,TTM_GETBUBBLESIZE
041f,RB_MAXIMIZEBAND
041f,TBM_SETTIPSIDE
041f,TB_SETBUTTONSIZE
041f,TTM_ADJUSTRECT
0420,TBM_SETBUDDY
0420,TB_SETBITMAPSIZE
0420,TTM_SETTITLEA
0421,MSG_FTS_JUMP_VA
0421,TB_AUTOSIZE
0421,TBM_GETBUDDY
0421,TTM_SETTITLEW
0422,RB_GETBANDBORDERS
0423,MSG_FTS_JUMP_QWORD
0423,RB_SHOWBAND
0423,TB_GETTOOLTIPS
0424,MSG_REINDEX_REQUEST
0424,TB_SETTOOLTIPS
0425,MSG_FTS_WHERE_IS_IT
0425,RB_SETPALETTE
0425,TB_SETPARENT
0426,RB_GETPALETTE
0427,RB_MOVEBAND
0427,TB_SETROWS
0428,TB_GETROWS
0429,TB_GETBITMAPFLAGS
042a,TB_SETCMDID
042b,RB_PUSHCHEVRON
042b,TB_CHANGEBITMAP
042c,TB_GETBITMAP
042d,MSG_GET_DEFFONT
042d,TB_GETBUTTONTEXTA
042e,TB_REPLACEBITMAP
042f,TB_SETINDENT
0430,TB_SETIMAGELIST
0431,TB_GETIMAGELIST
0432,TB_LOADIMAGES
0432,EM_CANPASTE
0432,TTM_ADDTOOLW
0433,EM_DISPLAYBAND
0433,TB_GETRECT
0433,TTM_DELTOOLW
0434,EM_EXGETSEL
0434,TB_SETHOTIMAGELIST
0434,TTM_NEWTOOLRECTW
0435,EM_EXLIMITTEXT
0435,TB_GETHOTIMAGELIST
0435,TTM_GETTOOLINFOW
0436,EM_EXLINEFROMCHAR
0436,TB_SETDISABLEDIMAGELIST
0436,TTM_SETTOOLINFOW
0437,EM_EXSETSEL
0437,TB_GETDISABLEDIMAGELIST
0437,TTM_HITTESTW
0438,EM_FINDTEXT
0438,TB_SETSTYLE
0438,TTM_GETTEXTW
0439,EM_FORMATRANGE
0439,TB_GETSTYLE
0439,TTM_UPDATETIPTEXTW
043a,EM_GETCHARFORMAT
043a,TB_GETBUTTONSIZE
043a,TTM_ENUMTOOLSW
043b,EM_GETEVENTMASK
043b,TB_SETBUTTONWIDTH
043b,TTM_GETCURRENTTOOLW
043c,EM_GETOLEINTERFACE
043c,TB_SETMAXTEXTROWS
043d,EM_GETPARAFORMAT
043d,TB_GETTEXTROWS
043e,EM_GETSELTEXT
043e,TB_GETOBJECT
043f,EM_HIDESELECTION
043f,TB_GETBUTTONINFOW
0440,EM_PASTESPECIAL
0440,TB_SETBUTTONINFOW
0441,EM_REQUESTRESIZE
0441,TB_GETBUTTONINFOA
0442,EM_SELECTIONTYPE
0442,TB_SETBUTTONINFOA
0443,EM_SETBKGNDCOLOR
0443,TB_INSERTBUTTONW
0444,EM_SETCHARFORMAT
0444,TB_ADDBUTTONSW
0445,EM_SETEVENTMASK
0445,TB_HITTEST
0446,EM_SETOLECALLBACK
0446,TB_SETDRAWTEXTFLAGS
0447,EM_SETPARAFORMAT
0447,TB_GETHOTITEM
0448,EM_SETTARGETDEVICE
0448,TB_SETHOTITEM
0449,EM_STREAMIN
0449,TB_SETANCHORHIGHLIGHT
044a,EM_STREAMOUT
044a,TB_GETANCHORHIGHLIGHT
044b,EM_GETTEXTRANGE
044b,TB_GETBUTTONTEXTW
044c,EM_FINDWORDBREAK
044c,TB_SAVERESTOREW
044d,EM_SETOPTIONS
044d,TB_ADDSTRINGW
044e,EM_GETOPTIONS
044e,TB_MAPACCELERATORA
044f,EM_FINDTEXTEX
044f,TB_GETINSERTMARK
0450,EM_GETWORDBREAKPROCEX
0450,TB_SETINSERTMARK
0451,EM_SETWORDBREAKPROCEX
0451,TB_INSERTMARKHITTEST
0452,EM_SETUNDOLIMIT
0452,TB_MOVEBUTTON
0453,TB_GETMAXSIZE
0454,EM_REDO
0454,TB_SETEXTENDEDSTYLE
0455,EM_CANREDO
0455,TB_GETEXTENDEDSTYLE
0456,EM_GETUNDONAME
0456,TB_GETPADDING
0457,EM_GETREDONAME
0457,TB_SETPADDING
0458,EM_STOPGROUPTYPING
0458,TB_SETINSERTMARKCOLOR
0459,EM_SETTEXTMODE
0459,TB_GETINSERTMARKCOLOR
045a,EM_GETTEXTMODE
045a,TB_MAPACCELERATORW
045b,EM_AUTOURLDETECT
045b,TB_GETSTRINGW
045c,EM_GETAUTOURLDETECT
045c,TB_GETSTRINGA
045d,EM_SETPALETTE
